Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C15, C16, C17, C18, C19, C22, C23, C24, C4, C8, C9",0402,15,100n,C30926
"C10, C12, C20, C25, C26, C27, C28, C29, C30, C31, C32",0402,11,1u,C15849
"C2, C21, C3, C7",0402,4,10u,C15850
"C5, C6",0402,2,20p,C1648
D2,D_SOD-523,1,D,C4468063
J2,USB-C-TH_GT-USB-7055,1,USB_C_Receptacle_USB2.0,C2686963
"Q1, Q2, Q3, Q4",Diodes_DFN1006-3,4,NMOS 20V 0.75A 500mÎ©@4.5V,C504098
"R1, R5",0402,2,1.1k,C325543
R10,0402,1,~,
R2,0402,1,100k,C60491
"R3, R4",0402,2,5.1k,C137955
"R6, R7",0402,2,27,C138021
R9,0402,1,510,C137860
U1,DFN1608-3_L1.5-W0.8-P0.42-BL-EP,1,Magnetic Switch,C879626
U10,SOT-666,1,USBLC6-2P6,C2827693
"U11, U12, U13, U14, U15, U16, U17, U18, U19, U21, U22, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U40, U41, U42, U45, U46, U47, U48, U49, U5, U50, U52",LED-SK9822-EC20,38,~,
U20,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.5mm,1,LGS4056H,C5124109
U3,RP2040-QFN-56,1,RP2040,C2040
U4,IC_W25Q16JVUXIQ_TR,1,W25Q16JV,C2843335
U6,UFDFN-6_1.45x1mm,1,Buffer,C7598681
U7,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,C2829074
U8,DFN1x1,1,~,C5884119
U9,WDFN-6-2x2,1,~,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,Crystal_GND24,C284155
